,start_time,end_time,content
112,50.88,50.97,the
113,50.97,51.61,questions
114,51.61,51.77,has
115,51.77,51.97,been
116,51.97,52.48,shared
117,52.48,52.62,with
118,52.62,52.72,the
119,52.72,53.46,commission
120,53.94,54.2,were
121,54.2,54.34,the
122,54.34,54.57,two
123,54.57,55.35,candidates
124,56.04,56.2,This
125,56.2,56.53,debate
126,56.53,56.65,is
127,56.65,56.87,being
128,56.87,57.45,conducted
129,57.45,57.71,under
130,57.71,58.07,health
131,58.07,58.23,and
132,58.23,58.63,safety
133,58.63,59.4,protocols
134,59.4,59.88,designed
135,59.88,60.02,by
136,60.02,60.13,the
137,60.13,60.71,Cleveland
138,60.71,61.26,Clinic
139,61.64,61.82,which
140,61.82,61.94,is
141,61.94,62.31,serving
142,62.31,62.46,as
143,62.46,62.62,the
144,62.62,62.96,health
145,62.96,63.52,security
146,63.52,64.16,adviser
147,64.16,64.39,to
148,64.39,64.51,the
149,64.51,65.04,commission
150,65.04,65.27,for
151,65.27,65.56,all
152,65.56,65.89,four
153,65.89,66.56,debates
154,67.14,67.4,Out
155,67.4,67.48,of
156,67.48,68.07,precaution
157,68.07,68.33,both
158,68.33,68.93,campaigns
159,68.93,69.04,have
160,69.04,69.61,agreed
161,69.61,69.75,the
162,69.75,70.47,candidates
163,70.84,71.04,will
164,71.04,71.32,not
165,71.32,71.62,shake
166,71.62,72.1,hands
167,72.1,72.19,At
168,72.19,72.3,the
169,72.3,72.78,beginning
170,72.78,72.91,of
171,72.91,73.32,tonight's
172,73.32,73.87,debate
173,74.7,74.86,the
174,74.86,75.3,audience
175,75.3,75.62,here
176,75.62,75.73,in
177,75.73,75.83,the
178,75.83,76.17,hall
179,76.17,76.4,has
180,76.4,76.95,promised
181,76.95,77.05,to
182,77.05,77.44,remain
183,77.44,78.01,silent
184,78.01,78.23,No
185,78.23,79.03,cheers
186,79.22,79.5,no
187,79.5,80.1,booze
188,80.1,80.26,or
189,80.26,80.57,other
190,80.57,81.29,interruptions
191,81.29,81.48,So
192,81.48,81.81,we
193,81.81,81.96,and
194,81.96,82.15,more
195,82.15,82.75,importantly
196,82.75,83.29,you
197,83.68,83.91,can
198,83.91,84.3,focus
199,84.3,84.45,on
200,84.45,84.61,what
201,84.61,84.71,the
202,84.71,85.22,candidates
203,85.22,85.48,have
204,85.48,85.61,to
205,85.61,86.1,say
206,86.74,86.92,No
207,86.92,87.3,noise
208,87.3,87.82,Except
209,87.83,88.16,right
210,88.16,88.66,now
211,89.06,89.24,as
212,89.24,89.43,we
213,89.43,89.8,welcome
214,89.8,89.9,the
215,89.9,90.49,Republican
216,90.49,91.04,nominee
217,91.04,91.59,President
218,91.59,92.05,Trump
219,92.44,92.66,and
220,92.66,92.74,the
221,92.74,93.36,Democratic
222,93.36,94.05,nominee
223,94.06,94.49,Vice
224,94.49,94.98,President
225,94.98,95.47,Biden
226,98.24,98.39,Thank
227,98.39,98.45,you
228,105.52,106.1,Oh
229,109.3,109.67,how
230,109.67,109.73,do
231,109.73,109.79,you
232,109.79,109.94,know
233,109.94,110.44,man
234,110.45,110.79,How
235,110.79,110.93,do
236,110.93,111.1,you
237,111.1,111.32,think
238,111.43,111.94,Um
239,117.44,118.24,Gentlemen
240,118.25,118.55,ah
241,118.55,119.1,lot
242,119.1,119.19,of
243,119.2,119.54,people
244,119.54,119.63,have
245,119.63,119.8,been
246,119.8,120.25,waiting
247,120.25,120.78,for
248,120.78,121.07,this
249,121.07,121.41,night
250,121.41,121.59,so
251,121.59,121.81,let's
252,121.81,122.0,get
253,122.0,122.44,going
254,122.44,122.62,Our
255,122.62,122.94,first
256,122.94,123.48,subject
257,123.49,123.75,is
258,123.75,123.88,the
259,123.88,124.41,Supreme
260,124.41,124.97,Court
261,125.64,126.1,President
262,126.1,126.49,Trump
263,126.49,126.65,You
264,126.65,127.33,nominated
265,127.34,127.83,Amy
266,127.84,128.22,Coney
267,128.22,128.64,Barrett
268,128.64,128.84,over
269,128.84,128.96,the
270,128.96,129.61,weekend
271,129.62,130.21,to
272,130.22,131.07,succeed
273,131.07,131.19,the
274,131.19,131.55,late
275,131.94,132.26,Ruth
276,132.26,132.55,Bader
277,132.55,133.22,Ginsburg
278,133.23,133.53,on
279,133.53,133.63,the
280,133.63,134.21,court
281,134.42,134.68,You
282,134.68,134.99,say
283,134.99,135.09,the
284,135.09,135.9,Constitution
285,135.9,136.05,is
286,136.05,136.49,clear
287,136.5,136.84,about
288,136.84,137.14,your
289,137.14,137.96,obligation
290,137.96,138.15,and
291,138.15,138.23,the
292,138.23,138.84,Senate's
293,139.16,139.31,to
294,139.31,140.09,consider
295,140.64,141.31,nominated
296,141.31,141.4,the
297,141.4,141.96,court
298,142.11,142.43,Vice
299,142.43,142.94,President
300,142.94,143.52,Biden
301,143.52,143.73,you
302,143.73,144.06,say
303,144.06,144.24,that
304,144.24,144.45,this
305,144.45,144.59,is
306,144.59,144.69,an
307,144.69,144.97,effort
308,144.98,145.1,by
309,145.1,145.21,the
310,145.21,145.84,president
311,145.84,145.99,and
312,145.99,146.85,Republicans
313,147.15,147.3,to
314,147.3,147.7,jam
315,147.7,148.07,through
316,148.07,148.25,an
317,148.25,148.9,appointment
318,148.9,149.28,and
319,149.28,149.46,what
320,149.47,149.68,you
321,149.68,150.33,call
322,150.84,151.3,abuse
323,151.3,151.4,of
324,151.4,151.67,power
325,151.67,151.81,My
326,151.81,152.13,first
327,152.13,152.79,question
328,152.8,152.92,to
329,152.92,153.29,both
330,153.29,153.42,of
331,153.42,153.57,you
332,153.57,154.08,tonight
333,154.09,154.44,Why
334,154.44,154.78,are
335,154.78,155.12,you
336,155.12,155.59,right
337,155.6,155.78,in
338,155.79,156.09,the
339,156.09,156.55,argument
340,156.55,156.67,you
341,156.67,157.25,make
342,157.26,157.52,and
343,157.52,157.7,your
344,157.7,158.17,opponent
345,158.17,158.69,wrong
346,158.7,159.24,And
347,159.32,159.92,where
348,159.92,160.02,do
349,160.02,160.18,you
350,160.18,160.77,think
351,161.24,161.44,a
352,161.44,162.18,justice
353,162.18,162.83,Barrett
354,162.84,163.13,would
355,163.13,163.42,take
356,163.42,163.52,the
357,163.52,163.97,court
358,164.54,164.97,President
359,164.97,165.21,Trump
360,165.21,165.28,in
361,165.28,165.43,this
362,165.43,165.69,first
363,165.69,166.03,segment
364,166.03,166.12,you
365,166.12,166.26,go
366,166.26,166.82,first
367,166.92,167.06,Two
368,167.06,167.55,minutes
369,167.74,167.95,Thank
370,167.95,168.02,you
371,168.02,168.23,very
372,168.23,168.51,much
373,168.51,168.82,Chris
374,168.83,169.04,I
375,169.04,169.24,will
376,169.24,169.47,tell
377,169.47,169.67,you
378,169.67,169.91,very
379,169.91,170.29,simply
380,170.29,170.45,we
381,170.45,170.64,won
382,170.64,170.76,the
383,170.76,171.35,election
384,171.82,172.41,Elections
385,172.41,172.64,have
386,172.64,173.69,consequences
387,173.99,174.13,We
388,174.13,174.28,have
389,174.28,174.37,the
390,174.37,174.87,Senate
391,174.91,175.16,We
392,175.16,175.51,have
393,175.52,175.74,the
394,175.74,175.99,White
395,175.99,176.45,House
396,176.46,176.96,and
397,177.34,177.55,we
398,177.55,177.71,have
399,177.71,177.81,a
400,177.81,178.88,phenomenal
401,179.0,179.69,nominee
402,180.03,180.59,respected
403,180.59,180.81,by
404,180.81,181.32,all
405,181.51,181.85,Top
406,181.85,182.24,top
407,182.25,183.12,academic
408,183.26,183.99,uh
409,184.0,184.38,good
410,184.38,184.52,in
411,184.53,184.86,every
412,184.86,185.27,way
413,185.28,185.49,good
414,185.49,185.61,in
415,185.62,185.94,every
416,185.94,186.32,way
417,186.61,186.75,In
418,186.75,187.19,fact
419,187.2,187.49,some
420,187.49,187.62,of
421,187.62,187.82,her
422,187.82,188.59,biggest
423,188.84,189.57,endorsers
424,189.58,189.94,are
425,189.94,190.24,very
426,190.24,190.61,liberal
427,190.61,191.11,people
428,191.51,191.75,from
429,191.75,192.03,Notre
430,192.03,192.38,Dame
431,192.38,192.53,and
432,192.53,192.75,other
433,192.75,193.26,places
434,193.26,193.53,So
435,193.53,193.58,I
436,193.58,193.79,think
437,193.79,193.95,she's
438,193.95,194.08,going
439,194.08,194.14,to
440,194.14,194.25,be
441,194.25,194.98,fantastic
442,194.99,195.12,We
443,195.12,195.26,have
444,195.26,195.55,plenty
445,195.55,195.67,of
446,195.67,196.15,time
447,196.64,197.05,even
448,197.05,197.15,if
449,197.15,197.26,we
450,197.26,197.44,did
451,197.44,197.56,it
452,197.56,197.95,after
453,197.95,198.23,the
454,198.24,198.7,election
455,198.7,199.12,itself
456,199.12,199.19,I
457,199.19,199.32,have
458,199.32,199.38,a
459,199.38,199.58,lot
460,199.58,199.69,of
461,199.69,200.02,time
462,200.02,200.33,after
463,200.33,200.45,the
464,200.45,200.88,election
465,200.88,201.02,as
466,201.02,201.13,you
467,201.13,201.46,know
468,201.71,202.06,So
469,202.06,202.12,I
470,202.12,202.42,think
471,202.42,203.0,that
472,203.01,203.24,she
473,203.24,203.4,will
474,203.4,203.58,be
475,203.58,204.25,outstanding
476,204.26,204.57,She's
477,204.57,204.84,going
478,204.84,204.96,to
479,204.96,205.46,be
480,206.04,206.33,as
481,206.33,206.63,good
482,206.63,207.06,as
483,207.06,207.66,anybody
484,207.66,207.84,that
485,207.84,208.0,has
486,208.0,208.36,served
487,208.36,208.45,on
488,208.45,208.61,that
489,208.61,209.03,court
490,209.04,209.22,We
491,209.22,209.44,really
492,209.44,209.71,feel
493,209.71,210.17,that
494,210.18,210.41,we
495,210.41,210.57,have
496,210.57,210.66,a
497,210.66,211.22,professor
498,211.22,211.55,Notre
499,211.55,211.85,Dame
500,211.85,212.1,highly
501,212.1,212.63,respected
502,212.63,212.87,by
503,212.87,213.03,all
504,213.03,213.24,said
505,213.24,213.37,she
506,213.37,213.47,is
507,213.47,213.55,the
508,213.55,213.97,single
509,213.97,214.74,greatest
510,214.75,215.32,student
511,215.32,215.5,he's
512,215.5,215.69,ever
513,215.69,215.96,had
514,215.96,216.16,He's
515,216.16,216.34,been
516,216.34,216.52,a
517,216.53,217.0,professor
518,217.0,217.15,for
519,217.15,217.22,a
520,217.22,217.46,long
521,217.46,217.75,time
522,217.75,217.82,in
523,217.82,217.88,a
524,217.88,218.12,great
525,218.12,218.67,school
526,219.34,219.85,and
527,219.86,220.17,we
528,220.17,220.69,just
529,220.7,220.92,we
530,220.92,221.11,won
531,221.11,221.21,the
532,221.21,221.68,election
533,221.68,221.89,and
534,221.9,222.35,therefore
535,222.35,222.49,we
536,222.49,222.67,have
537,222.67,222.77,the
538,222.77,223.14,right
539,223.54,223.67,to
540,223.67,224.0,choose
541,224.0,224.29,her
542,224.51,224.76,and
543,224.76,225.06,very
544,225.06,225.26,few
545,225.26,225.65,people
546,225.66,226.53,knowingly
547,226.67,226.85,would
548,226.85,227.05,say
549,227.05,227.42,otherwise
550,227.42,227.52,And
551,227.52,227.62,by
552,227.62,227.71,the
553,227.71,227.85,way
554,227.85,227.96,the
555,227.96,228.69,Democrats
556,228.96,229.08,they
557,229.08,229.28,wouldn't
558,229.28,229.45,even
559,229.45,229.68,think
560,229.68,229.95,about
561,229.95,230.13,not
562,230.13,230.4,doing
563,230.4,230.52,it
564,230.52,230.65,if
565,230.65,230.82,they
566,230.82,231.01,had
567,231.01,231.11,The
568,231.11,231.29,only
569,231.29,231.66,difference
570,231.66,231.79,is
571,231.79,231.91,there
572,231.91,232.08,Try
573,232.08,232.18,and
574,232.18,232.27,do
575,232.27,232.36,it
576,232.36,232.83,faster
577,233.34,233.58,There's
578,233.58,233.74,no
579,233.74,233.92,way
580,233.92,234.04,they
581,234.04,234.21,would
582,234.21,234.4,give
583,234.4,234.5,it
584,234.5,234.75,up
585,235.34,235.58,They
586,235.58,235.81,had
587,235.81,236.1,merit
588,236.1,236.69,garland
589,236.7,236.96,but
590,236.96,237.12,the
591,237.13,237.63,problem
592,237.63,237.86,is
593,237.86,237.98,they
594,237.98,238.33,didn't
595,238.33,238.55,have
596,238.55,238.65,the
597,238.65,239.17,elections
598,239.17,239.45,so
599,239.69,239.84,they
600,239.84,239.98,were
601,239.98,240.56,stopped
602,241.04,241.49,And
603,241.5,242.01,probably
604,242.01,242.19,that
605,242.19,242.3,would
606,242.3,242.79,happen
607,242.8,242.96,in
608,242.96,243.38,reverse
609,243.38,243.67,Also
610,243.67,244.24,definitely
611,244.24,244.38,would
612,244.38,244.71,happen
613,244.71,245.2,Reverse
614,245.46,245.7,So
615,245.7,245.84,we
616,245.84,246.02,won
617,246.02,246.14,the
618,246.14,246.63,election
619,246.64,246.81,and
620,246.81,246.9,we
621,246.9,247.03,have
622,247.03,247.13,the
623,247.13,247.33,right
624,247.33,247.42,to
625,247.42,247.58,do
626,247.58,247.68,it
627,247.68,248.06,Chris
628,248.84,249.25,President
629,249.25,249.49,Trump
630,249.49,249.8,Thank
631,249.8,250.24,you
632,250.25,250.84,Uh
633,250.85,251.25,same
634,251.25,251.7,question
635,251.7,251.82,to
636,251.82,251.96,you
637,251.96,252.26,Vice
638,252.26,252.73,President
639,252.73,253.16,Biden
640,253.16,253.32,You
641,253.32,253.64,have
642,253.65,253.8,two
643,253.8,254.36,minutes
644,254.84,255.0,Well
645,255.0,255.29,first
646,255.29,255.37,of
647,255.37,255.83,all
648,255.84,256.37,um
649,256.84,257.17,thank
650,257.17,257.27,you
651,257.27,257.71,for
652,257.72,258.0,doing
653,258.0,258.26,this
654,258.26,258.46,and
655,258.94,259.18,looking
656,259.18,259.42,forward
657,259.42,259.48,to
658,259.48,259.65,this
659,259.65,259.88,Mr
660,259.88,260.56,President
661,261.04,261.76,I
662,262.44,262.57,the
663,262.57,262.91,American
664,262.91,263.5,people
665,263.51,263.91,have
666,263.91,263.98,a
667,263.98,264.58,right
668,264.61,264.76,to
669,264.76,264.87,have
670,264.87,264.92,a
671,264.92,265.34,say
672,265.34,265.44,in
673,265.44,265.58,who
674,265.58,265.67,the
675,265.67,265.97,Supreme
676,265.97,266.23,Court
677,266.23,266.64,nominee
678,266.64,266.96,is
679,266.97,267.09,and
680,267.09,267.27,that
681,267.27,267.77,say
682,267.78,268.44,occurs
683,268.45,268.85,when
684,268.85,268.98,they
685,268.98,269.28,vote
686,269.28,269.68,for
687,269.69,269.83,a
688,269.83,270.17,United
689,270.17,270.48,States
690,270.48,271.27,senators
691,271.28,271.67,And
692,271.67,271.79,when
693,271.79,271.91,they
694,271.91,272.22,vote
695,272.22,272.65,for
696,272.66,272.75,the
697,272.75,273.09,president
698,273.09,273.33,United
699,273.33,273.87,States
700,275.14,275.35,they're
701,275.35,275.53,not
702,275.53,275.65,going
703,275.65,275.72,to
704,275.72,275.94,get
705,275.94,276.16,that
706,276.16,276.59,chance
707,276.59,276.87,now
708,276.87,277.37,because
709,277.37,277.53,we're
710,277.53,277.6,in
711,277.6,277.68,the
712,277.68,277.91,middle
713,277.91,277.98,of
714,277.98,278.07,an
715,278.07,278.47,election
716,278.47,279.07,already
717,279.74,280.11,election
718,280.11,280.23,has
719,280.23,280.56,already
720,280.56,281.06,started
721,281.84,282.14,Tens
722,282.14,282.23,of
723,282.23,282.68,thousands
724,282.68,282.74,of
725,282.74,283.0,people
726,283.0,283.09,have
727,283.09,283.37,already
728,283.37,283.85,voted
729,284.54,284.69,And
730,284.69,284.82,so
731,284.82,284.95,the
732,284.95,285.24,thing
733,285.24,285.35,that
734,285.35,285.57,should
735,285.57,286.04,happen
736,286.24,286.42,is
737,286.42,286.54,we
738,286.54,286.71,should
739,286.71,287.06,wait
740,287.54,287.71,We
741,287.71,287.87,should
742,287.87,288.14,wait
743,288.14,288.26,and
744,288.26,288.44,see
745,288.44,288.57,what
746,288.57,288.65,the
747,288.65,288.99,outcome
748,288.99,289.06,of
749,289.06,289.2,this
750,289.2,289.61,election
751,289.61,289.99,is
752,290.0,290.42,because
753,290.42,290.65,that's
754,290.65,290.75,the
755,290.75,291.04,only
756,291.04,291.25,way
757,291.25,291.32,the
758,291.32,291.66,American
759,291.66,291.89,people
760,291.89,292.07,get
761,292.07,292.16,to
762,292.16,292.95,express
763,292.96,293.38,their
764,293.38,293.98,view
765,293.99,294.31,is
766,294.31,294.5,by
767,294.5,294.76,who
768,294.76,294.93,they
769,294.93,295.33,elect
770,295.33,295.46,as
771,295.46,296.0,president
772,296.0,296.14,who
773,296.14,296.29,they
774,296.29,296.62,elect
775,296.62,296.78,as
776,296.78,297.01,vice
777,297.01,297.47,president
778,297.94,298.45,Now
779,298.84,299.12,what's
780,299.12,299.27,at
781,299.27,299.66,stake
782,299.66,299.97,here
783,299.97,300.08,The
784,300.08,300.55,president
785,300.55,300.74,made
786,300.74,300.83,it
787,300.83,301.43,clear
788,301.46,301.81,he
789,301.81,302.03,wants
790,302.03,302.13,to
791,302.13,302.3,get
792,302.3,302.48,rid
793,302.48,302.58,of
794,302.58,302.66,the
795,302.66,303.07,Affordable
796,303.07,303.31,care
797,303.31,303.55,act
798,304.14,304.32,He's
799,304.32,304.48,been
800,304.48,304.8,running
801,304.8,304.96,on
802,304.96,305.38,that
803,305.39,305.56,He
804,305.56,305.82,ran
805,305.82,305.92,on
806,305.92,306.19,that
807,306.2,306.44,and
808,306.44,306.69,he's
809,306.7,307.05,been
810,307.05,307.49,governing
811,307.49,307.64,on
812,307.64,307.77,that
813,308.54,308.75,He's
814,308.75,308.84,in
815,308.84,308.93,the
816,308.93,309.3,Supreme
817,309.3,309.59,Court
818,309.59,309.81,right
819,309.81,310.08,now
820,310.08,310.39,trying
821,310.39,310.47,to
822,310.47,310.64,get
823,310.64,310.8,rid
824,310.8,311.06,of
825,311.44,311.97,uh
826,311.98,312.48,the
827,312.49,312.9,Affordable
828,312.9,313.18,Care
829,313.18,313.45,Act
830,313.94,314.51,which
831,314.52,314.76,will
832,314.76,315.25,strip
833,315.26,315.71,20
834,315.71,316.06,million
835,316.06,316.55,people
836,316.94,317.51,from
837,317.51,318.04,having
838,318.36,319.06,insurance
839,319.06,319.3,health
840,319.3,319.8,insurance
841,319.8,320.37,Now
842,320.38,320.94,if
843,320.94,321.51,they
844,321.52,321.83,goes
845,321.83,321.98,into
846,321.98,322.45,court
847,322.6,323.15,and
848,323.54,324.09,and
849,324.1,324.33,the
850,324.33,324.85,justice
851,324.85,325.06,and
852,325.06,325.12,I
853,325.12,325.44,have
854,325.44,325.98,nothing
855,325.98,326.08,I'm
856,326.08,326.23,not
857,326.23,326.69,opposed
858,326.69,326.76,to
859,326.76,326.88,the
860,326.88,327.43,justices
861,327.43,327.53,but
862,327.53,327.66,she
863,327.66,327.92,seems
864,327.92,328.06,like
865,328.06,328.1,a
866,328.1,328.28,very
867,328.28,328.53,fine
868,328.53,328.97,person
869,329.44,329.65,But
870,329.65,329.89,she's
871,329.89,330.23,written
872,330.23,330.62,before
873,330.62,330.8,she
874,330.8,330.99,went
875,330.99,331.05,in
876,331.05,331.12,the
877,331.12,331.43,bench
878,331.43,331.6,which
879,331.6,331.71,is
880,331.71,331.89,her
881,331.89,332.28,right
882,332.6,332.76,that
883,332.76,332.96,she
884,332.96,333.37,thinks
885,333.37,333.95,that
886,333.96,334.02,the
887,334.03,334.58,Affordable
888,334.58,334.84,Care
889,334.84,334.99,Act
890,334.99,335.1,is
891,335.1,335.31,not
892,335.31,336.07,constitutional
893,336.8,336.93,The
894,336.93,337.1,other
895,337.1,337.28,thing
896,337.28,337.44,is
897,337.44,337.6,on
898,337.6,337.68,the
899,337.68,337.98,court
900,337.98,338.12,and
901,338.12,338.31,if
902,338.32,338.78,it
903,338.78,339.11,struck
904,339.11,339.51,down
905,339.51,339.66,what
906,339.66,340.25,happens
907,340.64,340.99,women's
908,340.99,341.27,rights
909,341.27,341.36,are
910,341.36,341.99,fundamentally
911,341.99,342.64,changed
912,342.75,343.1,Once
913,343.1,343.62,again
914,344.24,344.34,a
915,344.34,344.65,woman
916,344.65,344.83,could
917,344.83,345.06,be
918,345.06,345.62,helped
919,345.63,345.8,make
920,345.8,345.98,more
921,345.98,346.27,money
922,346.27,346.72,because
923,346.72,346.9,she
924,346.9,347.05,has
925,347.05,347.13,a
926,347.13,347.31,pre
927,347.31,347.68,existing
928,347.68,348.01,condition
929,348.01,348.09,of
930,348.09,348.84,pregnancy
931,348.85,349.22,Were
932,349.22,349.98,ableto
933,349.99,350.24,they're
934,350.24,350.47,able
935,350.47,350.57,to
936,350.57,350.97,charge
937,350.97,351.2,woman
938,351.2,351.55,more
939,351.55,351.67,for
940,351.67,351.76,the
941,351.76,352.1,same
942,352.1,352.45,exact
943,352.45,352.89,procedure
944,352.89,353.45,remanded
945,354.04,354.66,gets
946,354.81,355.15,And
947,355.16,355.52,that
948,355.52,355.96,ended
949,356.34,356.55,when
950,356.55,356.75,we
951,356.75,356.85,in
952,356.85,357.18,fact
953,357.18,357.49,passed
954,357.49,357.56,the
955,357.56,357.94,Affordable
956,357.94,358.21,Care
957,358.21,358.47,Act
958,359.04,359.27,and
959,359.27,359.41,there's
960,359.41,359.92,100
961,359.92,360.23,million
962,360.23,360.61,people
963,360.61,360.75,have
964,360.75,360.91,pre
965,360.91,361.29,existing
966,361.29,361.95,conditions
967,362.34,362.5,and
968,362.5,362.71,they'll
969,362.71,362.97,be
970,362.98,363.32,taken
971,363.32,363.59,away
972,363.59,363.71,as
973,363.71,364.17,well
974,364.74,365.06,those
975,365.06,365.59,preexisting
976,365.59,366.1,conditions
977,366.1,366.24,The
978,366.25,366.79,insurance
979,366.79,367.05,company
980,367.05,367.12,is
981,367.12,367.33,gonna
982,367.33,367.61,love
983,367.61,367.97,this
984,367.98,368.39,and
985,368.39,368.66,so
986,368.66,368.8,it's
987,368.8,369.12,just
988,369.12,369.29,not
989,369.29,369.96,appropriate
990,370.34,370.46,to
991,370.46,370.68,do
992,370.68,370.95,this
993,370.95,371.69,before
994,371.7,371.98,this
995,371.98,372.63,election
996,372.7,373.09,If
997,373.09,373.21,he
998,373.21,373.85,wins
999,373.86,374.0,the
1000,374.0,374.61,election
1001,374.62,374.82,and
1002,374.82,374.89,the
1003,374.89,375.49,Senators
1004,375.5,376.13,Democrat
1005,376.14,376.23,a
1006,376.23,376.92,Republican
1007,377.25,377.51,Then
1008,377.51,377.78,he
1009,377.78,378.02,goes
1010,378.02,378.42,forward
1011,378.43,378.62,If
1012,378.62,378.9,not
1013,378.9,379.02,we
1014,379.02,379.2,should
1015,379.2,379.41,wait
1016,379.41,379.64,until
1017,379.64,380.16,February
1018,380.2,380.56,There
1019,380.56,380.77,are
1020,380.78,381.27,100
1021,381.27,381.58,million
1022,381.58,381.93,people
1023,381.93,382.09,with
1024,382.09,382.74,preexisting
1025,382.74,383.51,conditions
1026,383.53,383.84,as
1027,383.84,384.22,Faras
1028,384.22,384.32,the
1029,384.32,384.64,say
1030,384.64,384.81,is
1031,384.81,385.31,concerned
1032,385.31,385.38,The
1033,385.38,385.72,people
1034,385.72,386.06,already
1035,386.06,386.24,had
1036,386.24,386.4,to
1037,386.4,386.92,say
1038,386.93,387.35,They
1039,388.34,389.03,okay
1040,389.04,389.64,Justice
1041,389.64,390.23,Ginsburg
1042,390.23,390.5,said
1043,390.5,390.75,Very
1044,390.75,391.26,powerfully
1045,391.26,391.51,very
1046,391.51,392.3,strongly
1047,392.31,392.59,at
1048,392.59,392.87,some
1049,392.87,393.47,point
1050,394.04,394.28,10
1051,394.28,394.53,years
1052,394.53,394.88,ago
1053,394.89,395.05,or
1054,395.05,395.57,so
1055,395.82,396.05,she
1056,396.05,396.34,said
1057,396.35,396.47,A
1058,396.47,397.21,president
1059,397.22,397.38,and
1060,397.38,397.46,the
1061,397.46,397.97,Senate
1062,398.19,398.38,is
1063,398.38,398.89,elected
1064,398.89,399.21,for
1065,399.22,399.34,a
1066,399.34,399.71,period
1067,399.71,399.8,of
1068,399.8,400.12,time
1069,400.12,400.24,but
1070,400.24,400.31,the
1071,400.31,400.86,president's
1072,400.86,401.25,elected
1073,401.25,401.42,for
1074,401.42,401.65,four
1075,401.65,401.98,years
1076,401.99,402.31,were
1077,402.31,402.47,not
1078,402.47,402.85,elected
1079,402.85,402.96,for
1080,402.96,403.16,three
1081,403.16,403.35,years
1082,403.36,403.53,I'm
1083,403.53,403.7,not
1084,403.7,404.08,elected
1085,404.08,404.2,for
1086,404.2,404.44,three
1087,404.44,404.8,years
1088,404.96,405.47,So
1089,405.47,405.6,we
1090,405.6,405.81,have
1091,405.81,405.91,the
1092,405.91,406.34,Senate
1093,406.35,406.55,We
1094,406.55,406.71,have
1095,406.71,406.79,a
1096,406.79,407.37,president
1097,407.37,407.77,elected
1098,407.77,407.88,to
1099,407.88,407.98,the
1100,407.98,408.12,neck
1101,408.12,408.6,during
1102,408.6,408.95,that
1103,408.96,409.38,period
1104,409.38,409.52,of
1105,409.52,410.02,time
1106,410.03,410.39,During
1107,410.39,410.56,that
1108,410.57,410.87,period
